proteins	genes	gene_name	kcat	rxns	notes	stoicho
			113.5	R_3OXCOAT	metamet_kcat_aggregate	
			0.74	R_ABTA	metamet_kcat_aggregate	
			177	R_ACACT1r	metamet_kcat_aggregate	
			8.5	R_ACCOAC	metamet_kcat_aggregate	
			5.5	R_ACOADH2	metamet_kcat_aggregate	
			5.25	R_ACONT	metamet_kcat_aggregate	
			1.55	R_ACOTA,R_ACOTA_REV	metamet_kcat_aggregate	
			5.628	R_ADCL	metamet_kcat_aggregate	
			0.53	R_ADCS	metamet_kcat_aggregate	
			2.55	R_AHCi	metamet_kcat_aggregate	
			13.5	R_AHGDx	metamet_kcat_aggregate	
			116	R_AKGDH	metamet_kcat_aggregate	
			9	R_ALAALAr	metamet_kcat_aggregate	
			35.4	R_ALCD19	metamet_kcat_aggregate	
			188.018	R_ALCD22_L	metamet_kcat_aggregate	
			32.3134	R_ALLK	metamet_kcat_aggregate	
			322	R_ALLPI	metamet_kcat_aggregate	
			16.4248	R_ALTRH	metamet_kcat_aggregate	
			28.5299	R_APPLDHr,R_APPLDHr_REV	metamet_kcat_aggregate	
			1.41	R_APRTO2	metamet_kcat_aggregate	
			0.08	R_APSR	metamet_kcat_aggregate	
			0.47	R_APTNAT,R_APTNAT_REV	metamet_kcat_aggregate	
			10.0468	R_ARGabcpp	metamet_kcat_aggregate	
			22	R_ASPTA,R_ASPTA_REV	metamet_kcat_aggregate	
			1.3861	R_AST	metamet_kcat_aggregate	
			16.5	R_ATPS4rpp	metamet_kcat_aggregate	
			18.6	R_BGLA	metamet_kcat_aggregate	
			95	R_CA2abc	metamet_kcat_aggregate	
			17150	R_CAT	metamet_kcat_aggregate	
			3.3665	R_CD2abcpp	metamet_kcat_aggregate	
			1.3	R_CHRPL	metamet_kcat_aggregate	
			360.5	R_CMPDAi	metamet_kcat_aggregate	
			100	R_CS	metamet_kcat_aggregate	
			6.45	R_CTPS1	metamet_kcat_aggregate	
			1.11845	R_CU2abcpp	metamet_kcat_aggregate	
			1.11845	R_CUabcpp	metamet_kcat_aggregate	
			130	R_CYSS	metamet_kcat_aggregate	
			10.0468	R_CYSabcpp	metamet_kcat_aggregate	
			1.11845	R_Cuabc	metamet_kcat_aggregate	
			60.8	R_DDGLK	metamet_kcat_aggregate	
			17	R_DHACOAH	metamet_kcat_aggregate	
			5.17	R_DHAK	metamet_kcat_aggregate	
			0.4	R_DMATT	metamet_kcat_aggregate	
			3.11	R_DMPPS	metamet_kcat_aggregate	
			1.74	R_DPMVD	metamet_kcat_aggregate	
			6	R_DTMPK	metamet_kcat_aggregate	
			4.825	R_DXPRIi	metamet_kcat_aggregate	
			2.56	R_DXPS	metamet_kcat_aggregate	
			283.8	R_EDA	metamet_kcat_aggregate	
			35.535	R_ENO	metamet_kcat_aggregate	
			1.695	R_FBA	metamet_kcat_aggregate	
			1.695	R_FBA2	metamet_kcat_aggregate	
			0.1055	R_FCI	metamet_kcat_aggregate	
			4.04815	R_FCLK	metamet_kcat_aggregate	
			10	R_FCLPA	metamet_kcat_aggregate	
			0.081	R_FMNAT	metamet_kcat_aggregate	
			3.32435	R_FRUK	metamet_kcat_aggregate	
			2.6	R_FTHFLi	metamet_kcat_aggregate	
			101.4	R_GK1	metamet_kcat_aggregate	
			2.39065	R_GLUPRT	metamet_kcat_aggregate	
			51	R_GLUSx	metamet_kcat_aggregate	
			14	R_GLYCDx	metamet_kcat_aggregate	
			275	R_GLYCK2	metamet_kcat_aggregate	
			116	R_GLYCL	metamet_kcat_aggregate	
			258.3	R_GLYOX_1	metamet_kcat_aggregate	
			0.345	R_GRTT	metamet_kcat_aggregate	
			2.376	R_GSNK	metamet_kcat_aggregate	
			4302.15	R_HADPCOADH3	metamet_kcat_aggregate	
			3.07775	R_HBZOPT	metamet_kcat_aggregate	
			13350	R_HCO3E,R_HCO3E_REV	metamet_kcat_aggregate	
			15	R_HMGCOAR	metamet_kcat_aggregate	
			0.0542	R_HMGCOAS	metamet_kcat_aggregate	
			30	R_ICDHx	metamet_kcat_aggregate	
			2.376	R_INSK	metamet_kcat_aggregate	
			3.11	R_IPDPS	metamet_kcat_aggregate	
			6	R_IPMD	metamet_kcat_aggregate	
			4.58895	R_IPPMIa,R_IPPMIa_REV	metamet_kcat_aggregate	
			4.58895	R_IPPMIb,R_IPPMIb_REV	metamet_kcat_aggregate	
			2.15	R_IPPS	metamet_kcat_aggregate	
			188.018	R_LALDO2x	metamet_kcat_aggregate	
			1.6	R_LDAPAT	metamet_kcat_aggregate	
			54.6	R_LEUTAi	metamet_kcat_aggregate	
			2.7	R_LYSMO	metamet_kcat_aggregate	
			0.83	R_MAL6PG	metamet_kcat_aggregate	
			98	R_MAN6PI	metamet_kcat_aggregate	
			5.58665	R_MANPGH	metamet_kcat_aggregate	
			128.3	R_MCD	metamet_kcat_aggregate	
			2.7	R_MDDCP2pp	metamet_kcat_aggregate	
			2.7	R_MDDCP5pp	metamet_kcat_aggregate	
			186	R_MDH	metamet_kcat_aggregate	
			2.7	R_MECDPS	metamet_kcat_aggregate	
			1.02	R_METAT	metamet_kcat_aggregate	
			22.5	R_MG2abc	metamet_kcat_aggregate	
			160	R_MLDCP2App	metamet_kcat_aggregate	
			160	R_MLDCP3App	metamet_kcat_aggregate	
			1.3865	R_MOBDabcpp	metamet_kcat_aggregate	
			2.83	R_NABTNO	metamet_kcat_aggregate	
			25.8	R_NADH16pp	metamet_kcat_aggregate	
			262	R_NADK1	metamet_kcat_aggregate	
			97.7002	R_NI2abcpp	metamet_kcat_aggregate	
			97.7002	R_NI2uabcpp	metamet_kcat_aggregate	
			1.3	R_NMNAT	metamet_kcat_aggregate	
			0.01225	R_NPHS	metamet_kcat_aggregate	
			4.9	R_NTD11	metamet_kcat_aggregate	
			250	R_OAADC	metamet_kcat_aggregate	
			0.0036	R_OCTDPS	metamet_kcat_aggregate	
			6	R_OMCDC	metamet_kcat_aggregate	
			2.2176	R_OPHBDC	metamet_kcat_aggregate	
			8.0997	R_OXDHCOAT	metamet_kcat_aggregate	
			4.8374	R_OXPTNDH	metamet_kcat_aggregate	
			0.01965	R_PAPPT3	metamet_kcat_aggregate	
			116	R_PDH	metamet_kcat_aggregate	
			69	R_PGI	metamet_kcat_aggregate	
			22	R_PHETA1,R_PHETA1_REV	metamet_kcat_aggregate	
			3.65	R_PMEVK	metamet_kcat_aggregate	
			0.07	R_PMPK	metamet_kcat_aggregate	
			89.85	R_PPA_1pp	metamet_kcat_aggregate	
			4.6915	R_PPS	metamet_kcat_aggregate	
			4.2	R_PRAGSr	metamet_kcat_aggregate	
			4.307	R_PRFGCL	metamet_kcat_aggregate	
			2.49	R_PRFGS_1	metamet_kcat_aggregate	
			37	R_PRPPS	metamet_kcat_aggregate	
			3.953	R_PTRCAT1	metamet_kcat_aggregate	
			5.35345	R_PTRCabcpp	metamet_kcat_aggregate	
			0.00067	R_PYDXS	metamet_kcat_aggregate	
			40.06	R_PYK2	metamet_kcat_aggregate	
			0.945	R_RBFK	metamet_kcat_aggregate	
			20.65	R_RBK	metamet_kcat_aggregate	
			270	R_RPE	metamet_kcat_aggregate	
			322	R_RPI	metamet_kcat_aggregate	
			5.0893	R_SADH	metamet_kcat_aggregate	
			19.1	R_SADT2	metamet_kcat_aggregate	
			80	R_SDPDS	metamet_kcat_aggregate	
			0.3	R_SDPTA,R_SDPTA_REV	metamet_kcat_aggregate	
			14.59	R_SERAT	metamet_kcat_aggregate	
			13.6684	R_SGDS	metamet_kcat_aggregate	
			6.3185	R_SGSAD	metamet_kcat_aggregate	
			7.67	R_SHSL2r	metamet_kcat_aggregate	
			7.67	R_SHSL4r	metamet_kcat_aggregate	
			3	R_SOTA	metamet_kcat_aggregate	
			5.35345	R_SPMDabcpp	metamet_kcat_aggregate	
			22.6	R_SSALx	metamet_kcat_aggregate	
			19.6	R_SUCOAS	metamet_kcat_aggregate	
			245	R_SULR_1	metamet_kcat_aggregate	
			12.0986	R_SULabcpp	metamet_kcat_aggregate	
			8.60355	R_TAGURr,R_TAGURr_REV	metamet_kcat_aggregate	
			6.44	R_TALA	metamet_kcat_aggregate	
			0.22	R_THDPS	metamet_kcat_aggregate	
			14.8	R_THFOR2	metamet_kcat_aggregate	
			956.5	R_THMP	metamet_kcat_aggregate	
			13.1	R_TKT1	metamet_kcat_aggregate	
			13.1	R_TKT2	metamet_kcat_aggregate	
			0.063	R_TMPK	metamet_kcat_aggregate	
			3.1054	R_TMPPP	metamet_kcat_aggregate	
			1367	R_TPI	metamet_kcat_aggregate	
			8.19	R_TRDR	metamet_kcat_aggregate	
			1.5749	R_TRPTA,R_TRPTA_REV	metamet_kcat_aggregate	
			22	R_TYRTA,R_TYRTA_REV	metamet_kcat_aggregate	
			78.125	R_UAG2EMA	metamet_kcat_aggregate	
			0.195	R_UAGPT3	metamet_kcat_aggregate	
			1.4	R_UGMDDS	metamet_kcat_aggregate	
			490.5	R_UMPK	metamet_kcat_aggregate	
			16.9	R_UNK3	metamet_kcat_aggregate	
			54.6	R_VALTA	metamet_kcat_aggregate	
			6.3505	R_VPAMTr,R_VPAMTr_REV	metamet_kcat_aggregate	
			300	R_ZN2abcpp	metamet_kcat_aggregate	
			300	R_ZNabcpp	metamet_kcat_aggregate	
